gene_id,BBH_0,BBH_30,BMS_0,BMS_30,BMS_90,JYJ_0,JYJ_30,JYJ_90,KDB_0,KDB_30,KKH_0,KKH_30,KYS2_0,KYS2_30,KYS2_90,KYS_0,KYS_30,KYS_90,LJO_0,LJO_30,LSJ_0,LSJ_30,LSJ_90
5988,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,11,0,0,3
5989,72,188,62,123,37,321,341,102,104,62,322,150,130,600,82,212,69,190,221,53,98,174,158
83892,898,1186,918,855,669,1041,1062,660,1032,854,1404,781,854,1479,706,758,835,1213,601,370,889,794,1193
5982,567,745,781,802,356,542,476,424,552,453,486,428,598,554,391,590,624,849,395,531,497,473,636
5983,457,297,407,371,264,226,231,245,322,307,348,289,351,281,246,226,482,324,194,240,417,485,299
5980,4357,4235,5643,4483,3802,3697,4083,3654,3630,3499,4591,3584,3864,3368,3027,2563,4736,5112,2735,2474,4289,7725,5035
5981,2121,2662,2583,2522,1643,1791,2109,1987,2086,2040,2317,2113,2388,2155,1339,1965,3119,3180,1014,1603,2120,3255,2452
5986,146,161,149,303,69,250,290,132,175,129,318,153,146,296,87,215,195,200,100,90,144,182,141
5987,3110,4156,3583,3566,2149,4134,3724,3198,2767,2653,3452,2727,3233,4193,2408,2477,3479,4295,2767,2334,2252,2886,2855
5984,220,177,363,229,185,200,162,165,121,209,120,193,193,157,237,118,259,348,105,127,183,406,153
5985,469,570,543,491,283,407,335,423,272,391,504,413,461,418,326,247,605,520,185,400,398,511,600
83897,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83895,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
100132677,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
101929152,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53905,0,0,0,10,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
401247,253,423,196,426,121,219,251,88,290,167,301,141,297,553,273,227,207,428,170,216,128,205,209
401242,0,0,0,11,0,0,3,0,0,9,0,9,0,0,0,0,0,6,0,0,3,6,0
57489,2303,1585,1858,1129,1474,1273,1493,899,1090,1239,1677,1237,1878,1011,744,1064,2372,1709,1103,815,1959,4369,1422
260293,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0,0
260294,311,533,248,308,123,403,353,191,329,206,519,304,380,757,154,455,362,517,197,203,233,389,486
270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
271,1817,2700,3102,4918,1993,4201,3978,3092,4043,2727,3077,2171,2988,5537,2110,3007,2257,4080,3031,2443,2695,3225,3856
272,1403,1775,1791,1925,1229,2174,1829,1344,2080,1581,3779,1744,1836,2700,1419,1177,1270,1937,1202,903,1476,1995,2804
273,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,6,8,0,8,0,0,0,0
274,1172,1727,553,685,322,1332,1468,851,1365,1309,1459,907,1377,1738,854,1057,1640,2244,643,1188,668,636,1145
275,148,274,195,290,87,157,235,143,144,136,405,127,232,314,86,121,159,183,95,136,213,166,211
276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277,7,18,20,17,9,0,6,9,0,0,19,14,5,3,7,13,14,0,11,0,8,17,0
278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0
279,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,40,0
286238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153770,15,2,11,0,0,19,6,0,0,0,17,0,18,18,9,0,0,3,10,0,4,9,6
63027,143,218,281,372,93,325,314,163,194,120,246,128,222,271,114,149,186,259,144,273,124,166,263
9258,735,816,825,893,565,829,922,569,1075,869,1532,1015,925,1055,401,579,797,1006,576,730,896,829,1281
9256,235,513,390,398,230,467,1047,255,639,345,1057,210,414,1540,361,674,398,672,307,148,419,328,378
9254,35,186,69,45,65,155,319,132,158,101,316,92,80,498,64,85,81,181,79,51,82,97,134
9255,640,516,314,475,349,295,426,276,372,391,636,553,538,326,196,393,562,484,333,355,873,2006,433
9252,3435,3555,5367,4846,3915,3461,3284,2367,3670,3045,2884,3040,4195,3045,3527,3020,3852,4851,3378,3568,4689,6475,5297
9253,39,33,19,38,18,69,98,53,26,13,103,51,37,114,0,55,30,77,55,25,43,26,59
55297,1296,1029,1381,736,806,905,849,680,722,661,990,973,910,524,577,676,1312,1021,521,873,1228,2926,724
105379194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105379192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100507091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
101928441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
100507099,66,90,108,136,66,100,103,68,117,80,143,30,66,106,73,55,59,88,72,11,49,100,154
100507098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124359,425,727,670,503,325,675,628,428,417,378,980,808,428,646,267,339,439,505,227,169,591,653,736
100506321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,6,3,0,0,0,0
55299,469,306,330,238,234,288,191,322,215,239,308,291,345,259,208,210,242,399,196,277,405,1140,215
100506325,16,29,9,0,7,14,3,0,0,9,14,6,16,19,0,0,7,13,0,0,6,15,8
100506328,74,115,100,168,66,158,135,100,139,137,74,72,156,201,185,265,225,270,172,196,57,56,161
387856,0,0,0,0,0,9,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
90313,380,529,506,639,233,379,389,290,283,455,500,384,332,487,232,272,492,598,250,287,300,453,337
90316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90317,466,446,596,492,374,328,269,287,380,335,448,457,394,205,246,290,363,494,226,218,434,1051,413
112950,834,1261,1338,883,608,894,994,969,1031,1028,1117,1009,941,870,655,1015,1267,1879,507,979,874,829,1002
105370014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105370016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285154,43,88,80,80,48,171,91,28,97,33,89,75,59,60,56,44,52,105,64,34,33,27,44
285150,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6
256126,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0
29765,7,55,24,94,17,40,79,35,39,27,96,14,21,62,7,11,16,41,18,0,25,36,59
29767,4428,4387,5368,5059,3866,4756,4729,3778,3036,3255,4708,3796,4007,3161,2813,2785,4688,4943,3147,3795,3603,5714,4254
29766,4001,4130,4901,4834,3272,4335,4581,3814,4976,3958,4623,3937,4809,4016,3269,3106,5217,5718,3214,3464,4438,4740,5770
29761,6158,6025,6582,6573,4864,5561,5988,5299,4612,4453,5214,5708,5319,3624,4247,4304,6501,7067,4892,5919,6525,11235,5862
29760,388,252,366,289,240,241,443,241,128,160,286,177,281,344,166,134,202,312,164,132,156,347,298
29763,0,0,0,2,0,3,0,0,0,0,0,0,6,0,0,0,0,0,16,0,0,0,0
1176,887,470,835,603,602,740,629,444,596,629,690,789,714,520,418,448,469,767,556,400,1099,1787,640
1175,903,1268,1196,1588,476,1259,674,1027,1399,811,1187,1077,976,884,755,950,1189,1430,559,842,711,697,1312
1174,300,238,252,273,98,144,114,179,146,124,194,198,231,182,87,212,293,319,88,119,113,159,110
1173,2709,3380,4986,5591,1022,4147,3436,2700,3598,1523,4171,2044,2837,5099,2159,4857,6014,4255,2646,2748,2088,1396,3040
23509,675,883,674,699,366,791,833,572,895,657,1557,636,885,1439,558,656,983,1075,433,535,662,715,887
23508,689,591,480,609,379,534,603,382,461,503,954,510,691,1086,410,680,528,865,613,460,463,544,741
23507,1699,1298,1839,1550,1232,1999,2015,1564,1856,1677,1855,1591,2111,1483,1048,946,1943,1749,877,1178,1691,2482,2003
23506,2247,3465,2309,3371,1996,4060,4010,3065,3500,2577,4359,2354,3158,5049,2763,2968,2886,3834,2402,2213,2434,2654,4298
23505,3844,4033,4431,3233,3574,3756,4115,2866,3837,3751,6508,4111,4589,4345,2922,2435,4486,4792,2295,2573,4392,5747,4913
23504,0,0,0,0,0,0,0,0,3,0,0,0,0,6,6,0,0,3,0,0,14,9,0
